"","rodada","casa","placar","fora","ano"
"1","1","SAO","2 x 0","BOT","2019"
"2","1","ATL","2 x 1","AVA","2019"
"3","1","CHA","2 x 0","INT","2019"
"4","1","FLA","3 x 1","CRU","2019"
"5","1","GRE","1 x 2","SAN","2019"
"6","1","CEA","4 x 0","CSA","2019"
"7","1","BAH","3 x 2","COR","2019"
"8","1","ATH","4 x 1","VAS","2019"
"9","1","PAL","4 x 0","FOR","2019"
"10","1","FLU","0 x 1","GOI","2019"
"11","2","COR","1 x 0","CHA","2019"
"12","2","CSA","1 x 1","PAL","2019"
"13","2","INT","2 x 1","FLA","2019"
"14","2","CRU","1 x 0","CEA","2019"
"15","2","AVA","1 x 1","GRE","2019"
"16","2","FOR","2 x 1","ATH","2019"
"17","2","VAS","1 x 2","ATL","2019"
"18","2","GOI","1 x 2","SAO","2019"
"19","2","SAN","2 x 1","FLU","2019"
"20","2","BOT","3 x 2","BAH","2019"
"21","3","VAS","1 x 1","COR","2019"
"22","3","PAL","1 x 0","INT","2019"
"23","3","CEA","1 x 2","ATL","2019"
"24","3","CHA","1 x 1","ATH","2019"
"25","3","SAO","1 x 1","FLA","2019"
"26","3","CRU","2 x 1","GOI","2019"
"27","3","BOT","1 x 0","FOR","2019"
"28","3","CSA","0 x 0","SAN","2019"
"29","3","BAH","1 x 0","AVA","2019"
"30","3","GRE","4 x 5","FLU","2019"
"31","4","FLU","0 x 1","BOT","2019"
"32","4","COR","0 x 0","GRE","2019"
"33","4","GOI","2 x 1","CEA","2019"
"34","4","FLA","2 x 1","CHA","2019"
"35","4","SAN","3 x 0","VAS","2019"
"36","4","ATL","0 x 2","PAL","2019"
"37","4","INT","3 x 1","CRU","2019"
"38","4","FOR","0 x 1","SAO","2019"
"39","4","AVA","0 x 0","CSA","2019"
"40","4","ATH","1 x 0","BAH","2019"
"41","5","FLU","4 x 1","CRU","2019"
"42","5","ATL","2 x 1","FLA","2019"
"43","5","PAL","4 x 0","SAN","2019"
"44","5","SAO","0 x 0","BAH","2019"
"45","5","ATH","0 x 2","COR","2019"
"46","5","CHA","1 x 3","FOR","2019"
"47","5","GOI","1 x 0","BOT","2019"
"48","5","INT","2 x 0","CSA","2019"
"49","5","VAS","1 x 1","AVA","2019"
"50","5","CEA","2 x 1","GRE","2019"
"51","6","BOT","0 x 1","PAL","2019"
"52","6","GRE","1 x 0","ATL","2019"
"53","6","SAN","0 x 0","INT","2019"
"54","6","FLA","3 x 2","ATH","2019"
"55","6","CRU","1 x 2","CHA","2019"
"56","6","FOR","1 x 1","VAS","2019"
"57","6","COR","1 x 0","SAO","2019"
