data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-09-12,Fortaleza,2,1,Bahia,0.52,0.48,14,9,6,6,0.56,0.44,Castelão,Brasileirão Série A,/pt-br/match/2205040
2021-09-12,Grêmio,4,3,Atlético-MG,0.37,0.63,7,13,4,7,0.48,0.52,Grêmio Arena,Brasileirão Série A,/pt-br/match/2205041
2021-09-12,Juventude,1,0,Corinthians,0.44,0.56,17,1,6,1,0.56,0.44,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2205042
2021-09-12,Palmeiras,1,0,Ceará,0.31,0.69,12,31,2,9,0.45,0.55,Arena Barueri,Brasileirão Série A,/pt-br/match/2205043
2021-09-12,Red Bull Bragantino,1,0,Internacional,0.44,0.56,23,4,4,1,0.53,0.47,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2205044
2021-09-12,Santos,1,1,Cuiabá,0.62,0.38,13,8,5,3,0.53,0.47,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2205045
2021-09-12,América-MG,2,0,São Paulo,0.45,0.55,19,11,4,2,0.54,0.46,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2205046
2021-09-12,Sport Recife,1,1,Athletico Paranaense,0.63,0.37,18,7,6,4,0.54,0.46,Arena Pernambuco,Brasileirão Série A,/pt-br/match/2205037
2021-09-12,Atlético-GO,2,0,Flamengo,0.52,0.48,13,12,3,6,0.45,0.55,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2205038
2021-09-12,Fluminense,3,0,Chapecoense,0.68,0.32,22,3,8,0,0.51,0.49,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2205039
2021-06-12,Chapecoense,0,1,Sport Recife,0.29,0.71,14,25,6,4,0.55,0.45,Arena Condá,Brasileirão Série A,/pt-br/match/2205031
